id,property,decision,brand,city,state,keys,guidance,broker,brokerContact,type,status,cfo,date,notes,address,yearBuilt,yearReno,owner,mgmtCo,structure,glLessor,glExpiry,glRent,roomsRev,fbRev,otherRev,totalRev,gop,noi,occ,adr,revpar,rgi,compSet,ourBid,bidDate,pipEst,debt,franchiseExp,ld,motivation,internalOwner,nextStep,driveUrl,vdrUrl,emailUrl
245,Le Meridien Tampa,Pass,Le Meridien,Tampa,FL,,,StepStone (UW shared),,Full-service,Reviewed - not a fit (equity),,May 28,SLP passed for now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Quality Inn & Suites Live Oak,Pass,Quality Inn,Live Oak,FL,63,"$4,750,000",DSH Hotel Advisors,,Select-service,For sale (~$75k/key),,May 27,I-10 corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Quality Inn Orange Park (Jacksonville),Pass,Quality Inn,Jacksonville,FL,104,,DDM Hotels,,Economy,Just listed,,Jul 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Quality Inn Palm Bay-Melbourne,Pass,Quality Inn,Palm Bay,FL,67,,DSH Hotel Advisors,,Select-service,For sale (minimal PIP),,May 29,Off I-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Red Roof PLUS+ & Suites Naples Downtown,Pass,Red Roof PLUS+,Naples,FL,,$14M + $20k/key reno,HREC,,Economy,Bhavnesh: UW priority,,Jun 5,Covered land play; AJ underwriting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,StudioRes by Marriott (Haines City),Pass,StudioRes,Davenport / Haines City,FL,124,,Marcus & Millichap,,Extended-stay,RFO / Q3-Q4'26 open,,Jul 9,"New build, expected opening",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Super 8 Miami Dade / Florida City,Pass,Super 8,Florida City,FL,52,"$5,250,000",Kabani Hotel Group,,Economy,Marketing,,Jun 12,Between Miami & Keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,La Quinta Inn & Suites Rome,Pass,La Quinta,Rome,GA,45,"$4,395,000",DDM Hotels,,Select-service,Price reduction,,May 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Red Roof PLUS+ & Suites Atlanta Airport South,Pass,Red Roof PLUS+,College Park,GA,,,HREC,,Economy,CFO Jun 29,,Jun 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Sleep Inn & MainStay Suites Newnan Atlanta South,Pass,Sleep Inn / MainStay,Newnan,GA,60,,DSH Hotel Advisors,,Select-service,CFO Jun 12,,Jun 1,"2019 build, ATL MSA, absentee owner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,AmericInn + Grocery Store Grinnell,Pass,AmericInn,Grinnell,IA,,"$2,700,000",Reco,,Economy,Just listed,,Jun 24,I-80; incl grocery store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,AmericInn Ankeny / Des Moines,Pass,AmericInn,Ankeny,IA,,,HREC,,Economy,Tours available,,Jun 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,AmericInn Sioux City,Pass,AmericInn,Sioux City,IA,,,Reco,,Economy,CFO Jul 21,,Jul 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,AmericInn West Burlington,Pass,AmericInn,West Burlington,IA,,,Reco,,Economy,1st-round tour,,Jun 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Country Inn & Suites Dubuque,Pass,Country Inn & Suites,Dubuque,IA,,,CBRE,,Select-service,CFO Jun 25,,Jun 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Days Inn Sioux City,Pass,Days Inn,Sioux City,IA,,,Reco,,Economy,CFO Jul 21,,Jul 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,La Quinta Inn & Suites Ankeny,Pass,La Quinta,Ankeny,IA,,,CBRE,,Select-service,Marketing,,Jul 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Super 8 Sioux City,Pass,Super 8,Sioux City,IA,,,Reco,,Economy,Now touring,,Jun 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Best Western Tyrolean Lodge,Pass,Best Western,Ketchum / Sun Valley,ID,,,CBRE,,Resort,Marketing,,Jul 8,1st time on market since 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Motel 6 Normal,Pass,Motel 6,Normal,IL,95,"$3,125,000",Marcus & Millichap,,Economy,New listing,,Jun 12,Revenue up $90k YoY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Super 8 by Wyndham Olney,Pass,Super 8,Olney,IL,41,"$1,995,000",Marcus & Millichap,,Economy,New listing,,Jul 7,Room rev up $110k YoY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Best Western University Inn Valparaiso,Pass,Best Western,Valparaiso,IN,50,,Marcus & Millichap,,Select-service,CFO Jul 10,,Jun 15,Auto-transfer w/ Best Western,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Red Roof Inn Elkhart,Pass,Red Roof,Elkhart,IN,80,,Marcus & Millichap,,Economy,CFO Jun 19,,Jun 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Comfort Suites Salina,Pass,Comfort Suites,Salina,KS,57,,Reco,,Select-service,For sale,,Jun 18,"2019 build, I-70/I-35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,La Quinta by Wyndham Lenexa (KC),Pass,La Quinta,Lenexa,KS,,,Reco,,Select-service,Tours available,,Jun 5,I-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Baymont by Wyndham Richmond KY,Pass,Baymont,Richmond,KY,,,HREC,,Economy,Marketing,,Jun 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Budgetel Paducah,Pass,Budgetel,Paducah,KY,130,"$2,500,000",Kabani Hotel Group,,Economy,"Just listed (shutdown, 1.9x RRM)",,Jun 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Comfort Inn & Suites Springfield,Pass,Comfort Inn,Springfield,KY,62,"$4,000,000",DSH Hotel Advisors,,Select-service,CFO Jul 15 / tour Jul 10,,Jul 6,"3.0 ac, 2000 build",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Days Inn Baltimore,Pass,Days Inn,Baltimore,MD,249,,Kabani Hotel Group,,Full-service,For sale,,Jun 16,"1984 build, 0.6 ac, downtown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Red Roof PLUS+ Washington DC - Rockville,Pass,Red Roof PLUS+,Rockville,MD,,,HREC,,Economy,CFO Jun 29,,Jun 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Sleep Inn Cumberland,Pass,Sleep Inn,Cumberland,MD,,,Hotel Brokers of America,,Economy,10%+ cap,,Jul 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Comfort Suites Grand Rapids North,Pass,Comfort Suites,Comstock Park,MI,,,Marcus & Millichap,,Select-service,CFO Jun 18,,Jun 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Suburban Studios Auburn Hills,Pass,Suburban Studios,Auburn Hills,MI,133,,Revere / Sohi Group,,Extended-stay,Marketing,,Jul 9,133-key three-story extended-stay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,La Quinta Inn & Suites KC Beacon Hill,Pass,La Quinta,Kansas City,MO,,,HREC,,Select-service,Tours & CFO PIP avail,,Jul 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Ramada by Wyndham Columbia,Pass,Ramada,Columbia,MO,,,CBRE,,Economy,CFO Jun 11,,Jun 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Red Roof Inn Cameron (KC metro),Pass,Red Roof,Cameron,MO,,,NewGen Advisory,,Economy,Crexi auction registration open,,Jun 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Super 8 Kansas City (Worlds of Fun),Pass,Super 8,Kansas City,MO,,,Reco,,Economy,Just listed,,Jun 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Super 8 Wyndham (Branson),Pass,Super 8,Branson,MO,68,,Hotel Brokers of America,,Economy,Price reduction (3.4x rev),,Jun 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Studio 6 Jackson (I-55),Pass,Studio 6,Jackson,MS,,,NewGen Advisory,,Extended-stay,Marketing,,Jun 3,"Turnkey, strong in-place CF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Suburban Studios Jackson North,Pass,Suburban Studios,Jackson,MS,,,HREC,,Extended-stay,Updated operating info in VDR,,Jun 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Clarion Pointe Greensboro Airport,Pass,Clarion Pointe,Greensboro,NC,,,HREC,,Select-service,CFO Jun 19,,Jun 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Clarion Pointe Jacksonville (Camp Lejeune),Pass,Clarion Pointe,Jacksonville,NC,115,,DSH Hotel Advisors,,Select-service,Just listed,,Jun 23,Fully renovated 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Comfort Inn Thomasville,Pass,Comfort Inn,Thomasville,NC,110,,DDM Hotels,,Select-service,Just listed,,Jun 16,Piedmont Triad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Days Inn & Suites Fayetteville (Fort Bragg),Pass,Days Inn,Fayetteville,NC,119,,DDM Hotels,,Economy,Tours Jun 24,,Jun 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Former Howard Johnson Greensboro,Pass,Howard Johnson,Greensboro,NC,119,,DDM Hotels,,Economy,Just listed (conversion),,Jun 5,I-40 corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Microtel Inn & Suites Cherokee,Pass,Microtel,Cherokee,NC,62,,DDM Hotels,,Economy,Ten-X auction Aug 3-5,,Jun 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Rodeway Inn Asheville,Pass,Rodeway Inn,Asheville,NC,62,,DDM Hotels,,Economy,Offers due Jul 10,,Jun 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Super 8 by Wyndham Morganton,Pass,Super 8,Morganton,NC,111,,DDM Hotels,,Economy,Tours Jun 30,,Jun 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Econo Lodge Inn & Suites Socorro,Pass,Econo Lodge,Socorro,NM,,,HREC,,Economy,Refreshed listing,,Jun 5,Near NM Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Microtel Inn & Suites Raton,Pass,Microtel,Raton,NM,,,CBRE,,Economy,Marketing (full reno),,Jun 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Comfort Inn & Suites Buffalo Airport,Pass,Comfort Inn,Buffalo,NY,,,CBRE,,Select-service,CFO Jun 4,,Jun 3,Incl 66-space Park & Ride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,WoodSpring Suites Rochester Greece,Pass,WoodSpring Suites,Rochester,NY,,,HREC,,Extended-stay,Marketing (taxes reduced),,Jul 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Comfort Inn & Suites Sharonville - Cincinnati N,Pass,Comfort Inn,Sharonville,OH,75,,DSH Hotel Advisors,,Select-service,CFO Jul 15 / tour Jul 10,,Jul 7,Renovated 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Extended Stay America Pittsburgh-Carnegie,Pass,Extended Stay America,Carnegie,PA,,,Avison Young,,Extended-stay,Marketing,,Jun 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Red Roof PLUS+ Mt Pleasant + Red Roof Hilton Head,Pass,Red Roof,Charleston / Hilton Head,SC,,,HREC,,Portfolio,CFO,,May 29,Two SC assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,IHG Hotel (Nashville MSA),Pass,IHG,Nashville MSA,TN,96,"$12,000,000",Hotel Brokers of America,,Select-service,Marketing,,Jul 3,2018 construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,America's Best Value Inn Bush Intl Airport,Pass,Americas Best Value Inn,Houston,TX,32,"$2,695,000",Marcus & Millichap,,Economy,New listing,,Jun 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Best Western Dos Rios,Pass,Best Western,Junction,TX,,"$3,950,000",HVS,,Economy,Price reduction,,Jul 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Best Western Inn of Del Rio,Pass,Best Western,Del Rio,TX,61,"$3,000,000",Marcus & Millichap,,Economy,Price reduced (2.38 RRM),,Jun 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Comfort Inn Express + Hampton Corpus Christi N (2-pk),Pass,IHG/Hilton,Corpus Christi,TX,,"$12,960,000",HVS,,Portfolio,Price reduction,,Jun 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Extended Stay America Houston-The Woodlands,Pass,Extended Stay America,The Woodlands,TX,,,Tabani / Revere,,Extended-stay,Marketing,,Jun 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,HomeTowne Studios Houston Northwest,Pass,HomeTowne Studios,Houston,TX,,,HREC,,Extended-stay,Offers due Jul 10,,Jul 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,La Quinta Inn & Suites Corpus Christi NW,Pass,La Quinta,Corpus Christi,TX,,"$4,500,000",HVS,,Select-service,Price reduction,,Jul 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Motel 6 San Antonio,Pass,Motel 6,San Antonio,TX,,~$30k/key,Hotel Brokers of America,,Economy,10% cap,,Jul 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Quality Inn San Angelo,Pass,Quality Inn,San Angelo,TX,,"$3,500,000",HVS,,Economy,Price reduction (3.0x RRM),,Jun 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Red Roof Inn Laredo,Pass,Red Roof,Laredo,TX,,,HREC,,Economy,CFO Jun 18,,Jun 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Roberts-Banner Building (hotel redev),Pass,Independent,El Paso,TX,,,Boldface / Revere,,Development,OM available,,Jun 30,Historic tax credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Wyndham Garden Midland,Pass,Wyndham Garden,Midland,TX,,"$5,500,000",HVS,,Select-service,Price reduction (2.36x),,Jun 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Microtel Inn & Suites Tooele,Pass,Microtel,Tooele,UT,92,,Marcus & Millichap,,Economy,Just listed,,Jun 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Super 8 Woods Cross (N Salt Lake City),Pass,Super 8,Woods Cross,UT,,,Hotel Brokers of America,,Economy,Value-add for sale,,May 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Comfort Inn & Suites Danville,Pass,Comfort Inn,Danville,VA,,,HREC,,Select-service,Marketing,,Jul 7,$100B+ planned in market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Howard Johnson by Wyndham Williamsburg,Pass,Howard Johnson,Williamsburg,VA,,,HREC,,Economy,New data available,,Jun 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Best Western Windjammer Inn & Conf Center,Pass,Best Western Plus,South Burlington,VT,158,,JLL,,Full-service,CFO Jul 24,,Jul 7,"440-seat restaurant, 56+ ac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,"Best Western (WA state, top-ranked)",Pass,Best Western,,WA,,,Allred Hotel Group,,Select-service,For sale,,Jun 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Clarion Pointe Rhinelander Downtown,Pass,Clarion Pointe,Rhinelander,WI,85,"$5,995,000",Marcus & Millichap,,Select-service,New listing (renovated),,May 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Rodeway Inn & Suites Tomahawk,Pass,Rodeway Inn,Tomahawk,WI,45,"$3,495,000",Marcus & Millichap,,Economy,New listing,,Jun 15,Event space to 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Super 8 by Wyndham Milwaukee Airport,Pass,Super 8,Milwaukee,WI,116,"$4,995,000",Marcus & Millichap,,Economy,New listing,,Jun 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Super 8 by Wyndham Sturtevant/Racine,Pass,Super 8,Sturtevant,WI,50,"$4,125,000",Marcus & Millichap,,Economy,New listing,,Jun 23,Incl restaurant lease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,La Quinta Inn & Suites Kansas City Beacon Hill,Pass,La Quinta,Kansas City,MO,,,HREC,,Select-service,Tours & CFO PIP available,,Jul 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,TownePlace Suites Kansas City Overland Park,Pass,TownePlace Suites,Overland Park,KS,90,,Hunter,,Extended-stay,Just listed,,Jul 13,"Marriott ext-stay, business corridor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,AmericInn by Wyndham Jackson,Pass,AmericInn,Jackson,MN,,"$3,900,000",Reco,,Economy,Now touring,,Jul 13,"I-90, 2-story w/ elevator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Comfort Inn Darien North Brunswick,Pass,Comfort Inn,Darien,GA,63,,DDM Hotels,,Select-service,Tours Jul 21,,Jul 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Fairfield Inn Evansville East,Pass,Fairfield Inn,Evansville,IN,116,,Hunter,,Select-service,Just listed,,Jul 13,"I-69 & SR-66, adj. Deaconess",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Choice-Franchised Hotel New Mexico (conversion),Pass,Choice,,NM,,,Allred Hotel Group,,Select-service,Inviting offers (conversion),,Jul 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Hotel Development Opportunity - Coachella Valley,Pass,-,,CA,,,Allred Hotel Group,,Development site,Inviting offers,,Jul 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Super 8 Florida City (Miami Dade),Pass,Super 8,Florida City,FL,52,"$5,250,000",Kabani Hotel Group,,Economy,Marketing,,Jul 10,Between Miami & the Keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Budgetel Walterboro,Pass,Budgetel,Walterboro,SC,97,,DDM Hotels,,Economy,Just listed (receivership),,Jul 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Best Western Batesville,Pass,Best Western,Batesville,IN,99,"$5,495,000",Marcus & Millichap,,Economy,New listing (auto transfer),,Jul 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,DoubleTree by Hilton St. Louis Westport,Pass,DoubleTree,St. Louis,MO,,,HREC,,Full-service,June data & STR available,,Jul 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Holiday Inn Express Milwaukee - West Allis,Pass,Holiday Inn Express,West Allis,WI,,,HREC,,Select-service,New listing (2020 build),,Jul 10,2020 build,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Courtyard Owensboro,Pass,Courtyard,Owensboro,KY,,,HREC,,Select-service,Investment opportunity,,Jul 9,Reno upside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Homewood Suites Corpus Christi,Pass,Homewood Suites,Corpus Christi,TX,,,HREC,,Extended-stay,Crexi auction; tours,,Jul 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,La Quinta Inn & Suites Salina,Pass,La Quinta,Salina,KS,,~$44k/key,Leisure,,Economy,Back on market (reno/reposition),,Jul 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Quality Inn Southern California (I-15),Pass,Quality Inn,,CA,,,Allred Hotel Group,,Select-service,Inviting offers (I-15 location),,Jul 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,El Rancho Robles Guest Ranch,Pass,Independent,Oracle,AZ,,,Hodges Ward Elliott,,Resort,New listing (boutique ranch),,Jul 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,The Whitney Hotel New Orleans,Pass,Independent,New Orleans,LA,,,HREC,,Boutique,CFO Jul 17 — revised guidance,,Jul 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Residence Inn & Fairfield Inn Vacaville,Pass,Residence Inn / Fairfield,Vacaville,CA,,,HREC,,Portfolio,Crexi auction; tours,,Jul 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Hotel/Resort/Apartment Dev Site - Kissimmee,Pass,-,Kissimmee,FL,,,HREC,,Development site,Offering,,Jul 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,StudioRes by Marriott Davenport (Haines City),Pass,StudioRes,Haines City,FL,124,,Marcus & Millichap,,Extended-stay,RFO (opening Q3/Q4 2026),,Jul 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Fairfield Inn & Suites Titusville Kennedy Space Center,Pass,Fairfield Inn,Titusville,FL,,,JLL,,Select-service,CFO Jul 21,,Jul 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Fairfield & Aloft Savannah Historic District,Pass,Fairfield / Aloft,Savannah,GA,135,,CBRE,,Portfolio,New offering,,Jul 15,"★ Bhavnesh: add to radar - hotels underperforming, may trade low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Holiday Inn St. Petersburg West Florida,Pass,Holiday Inn,St. Petersburg,FL,,$15M target (Bhavnesh),Marquee Hotel Group,,Full-service,Recirculated on Crexi,,Jul 15,★ Bhavnesh: $15M is the number; PIP'd for DoubleTree; assume $35k/key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Residence Inn Boulder,Pass,Residence Inn,Boulder,CO,,,CBRE,,Extended-stay,New offering,,Jul 15,★ Bhavnesh: add on the radar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Courtyard Orlando Altamonte Springs Maitland,Underwrite,Courtyard,Altamonte Springs,FL,,,Hunter,,Select-service,Marketing,,Jul 15,★ Bhavnesh: may lob offer ~$10.5M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Residence Inn Atlanta Duluth/Gwinnett Place,Pass,Residence Inn,Duluth,GA,,,HREC,,Extended-stay,RealINSIGHT auction; tours next week,,Jul 15,ATL MSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Hilton Garden Inn Tucson Airport,Pass,Hilton Garden Inn,Tucson,AZ,125,,Hodges Ward Elliott,,Select-service,New listing (fee simple),,Jul 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Downtown Blowing Rock Blue Ridge Mountain Portfolio,Pass,Independent,Blowing Rock,NC,,,Hodges Ward Elliott,,Portfolio,OM available (boutique inns),,Jul 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Hampton Inn Lexington South-Keeneland/Airport,Pass,Hampton Inn,Lexington,KY,,,HREC,,Select-service,RealINSIGHT auction; tours,,Jul 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Courtyard Columbia Northeast,Pass,Courtyard,Columbia,SC,,,DDM Hotels,,Select-service,Back on market,,Jul 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Hilton Garden Inn Cincinnati/Mason,Pass,Hilton Garden Inn,Mason,OH,,,CBRE,,Select-service,Investment opportunity,,Jul 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,SpringHill Suites Houston Sugar Land,Pass,SpringHill Suites,Sugar Land,TX,94,,Kabani Hotel Group,,Select-service,PIP now available,,Jul 15,2016 build; assumable loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Country Inn & Suites Midway - Tallahassee West,Pass,Country Inn & Suites,Midway,FL,53,"$4,295,000",DSH Hotel Advisors,,Select-service,For sale (3.75x RRM),,Jul 15,Seller financing avail; 5.1 acres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Two-Property Portfolio: Holiday Inn Express & Comfort Inn,Pass,HIX / Comfort Inn,,,,,Leisure / Revere,,Portfolio,Marketing (10%+ cap),,Jul 16,"$5M+ rev, $1.7M NOI, minimal PIP, fee simple",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Holiday Inn Express & Suites Longview North,Pass,Holiday Inn Express,Longview,TX,80,"$7,700,000",Marcus & Millichap,,Select-service,New listing,,Jul 15,T12 RevPAR $82.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Fairfield Inn & Residence Inn Scranton,Pass,Fairfield / Residence Inn,Scranton,PA,,,HREC,,Portfolio,RealINSIGHT auction; tours,,Jul 15,Must be acquired together,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Fairfield Inn Visalia Sequoia,Pass,Fairfield Inn,Visalia,CA,,,HREC,,Select-service,Crexi auction; tour dates,,Jul 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Courtyard Topeka,Pass,Courtyard,Topeka,KS,,,HREC,,Select-service,RealINSIGHT auction; tours,,Jul 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Former Club Wyndham Patriots' Place Williamsburg,Pass,Wyndham (former),Williamsburg,VA,196,,Hilco,,Redevelopment,Bid deadline Jul 16,,Jul 15,196 units; near I-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Fully Entitled Extended-Stay Dev Site Duluth,Pass,-,Duluth,GA,,,HREC,,Development site,Offering,,Jul 15,Atlanta MSA corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Confidential IHG Asset Florida,Pass,IHG,,FL,,,Hotel Brokers of America,,Full-service,CA required,,Jul 15,High performing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,California Marriott-Branded Hotel,Pass,Marriott,,CA,,,Allred Hotel Group,,Select-service,"Back on market, new pricing",,Jul 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Holiday Inn Milwaukee Riverfront,Pass,Holiday Inn,Milwaukee,WI,160,,Alchemy REA,,Full-service,Receivership sale,,Jul 15,Fee simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Hampton Inn McPherson,Pass,Hampton Inn,McPherson,KS,,,Leisure / Revere,,Select-service,Back on market,,Jul 15,Revenue stabilizing; motivated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Hampton Inn & Suites Fort Wayne - North,Pass,Hampton Inn,Fort Wayne,IN,,,HREC,,Select-service,RealINSIGHT auction; tours,,Jul 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Marriott Las Cruces 2-Property Portfolio,Pass,TownePlace / Fairfield,Las Cruces,NM,157,,Hunter,,Portfolio,Just listed,,Jul 14,TownePlace 81 keys + Fairfield 76 keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Residence Inn Dover,Pass,Residence Inn,Dover,DE,98,,CBRE,,Extended-stay,Investment opportunity,,Jul 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
